t_bin,current_a,current_std,current_sigma_a,delta_f_hz,delta_f_sigma_hz,common_mode_hz,f_left_hz,f_right_hz,n
223,507.01553604000003,0.12419173914330658,0.1425884264,45528816.64,12137.55044,2870770455.4,2848006047.0,2893534863.6,5
224,507.01808796666666,0.12409667992334376,0.1609572225,45529033.865,13701.156928333332,2870770893.6666665,2848006376.8333335,2893535410.6666665,6
225,507.0622615,0.14350307990524225,0.234484645,45532794.05,19960.02957,2870769393.25,2848002996.25,2893535790.25,4
226,507.09043936666666,0.11692730366741518,0.1532137995,45535192.63,13042.013755,2870770275.5,2848002679.1666665,2893537871.6666665,6
227,507.07104413999997,0.09815602621929932,0.1781551978,45533541.651999995,15165.099661999999,2870770752.4,2848003981.2,2893537523.0,5
228,507.1095644833333,0.07758938242370439,0.15112898583333334,45536820.61833333,12864.548215,2870770467.8333335,2848002057.3333335,2893538878.1666665,6
229,507.0861087,0.22734614587179594,0.21923546200000002,45534823.99333333,18661.97381,2870775966.3333335,2848008554.3333335,2893543378.3333335,3
230,507.19872381666664,0.05299434531516719,0.21660052366666668,45544410.123333335,18437.680031666667,2870770590.8333335,2847998386.0,2893542796.1666665,6
231,507.10475406000006,0.17575000416906122,0.1967704314,45536411.14,16749.683643999997,2870773994.8,2848005789.2,2893542200.4,5
232,507.1397798166667,0.12526809237130326,0.1773772445,45539392.63333333,15098.877975000001,2870771521.0,2848001824.6666665,2893541217.3333335,6
233,507.0716917666667,0.15429263768103044,0.165332239,45533596.77666667,14073.571320000001,2870772103.3333335,2848005305.0,2893538902.0,3
234,507.0924265833333,0.07807143754021881,0.14233019916666667,45535361.788333334,12115.569358333334,2870772515.6666665,2848004834.8333335,2893540196.6666665,6
